material,stock,stock_length_mm,cuts,piece_codes,piece_lengths_mm,kerf_mm,used_mm,waste_mm
beam_45x45,1,4200,3,BWD1 + DBD1 + LSD1,1315.9 + 1315.9 + 1203.0,8.4,3843.2,356.8
beam_45x45,2,4200,3,RSD1 + LSV1 + LSV2,1203.0 + 1150.0 + 1150.0,8.4,3511.4,688.6
beam_45x45,3,4200,3,RSV1 + RSV2 + DBV1,1150.0 + 1150.0 + 1050.0,8.4,3358.4,841.6
beam_45x45,4,4200,4,DBV2 + RBH1 + RBH2 + BWH1,1050.0 + 990.0 + 990.0 + 900.0,11.2,3941.2,258.8
beam_45x45,5,4200,4,BWH2 + DBH1 + DBH2 + FBH1,900.0 + 900.0 + 900.0 + 900.0,11.2,3611.2,588.8
beam_45x45,6,4200,4,RBC1 + FBB1 + SBH1 + SBH2,900.0 + 854.0 + 854.0 + 854.0,11.2,3473.2,726.8
beam_45x45,7,4200,5,SBH3 + RBS1 + RBS2 + LSH1 + LSH2,854.0 + 812.7 + 812.7 + 725.0 + 725.0,14.0,3943.3,256.7
beam_45x45,8,4200,6,RSH1 + RSH2 + FBS1 + FBS2 + SBS1 + SBS2,725.0 + 725.0 + 657.0 + 657.0 + 387.0 + 387.0,16.8,3554.8,645.2
cladding_120x23,1,4500,5,LSC1 + LSC2 + LSC3 + SFB1 + SFB2,1175.0 + 1175.0 + 1175.0 + 397.0 + 397.0,14.0,4333.0,167.0
cladding_120x23,2,4500,5,LSC4 + LSC5 + LSC6 + SFB3 + SFB4,1175.0 + 1175.0 + 1175.0 + 397.0 + 397.0,14.0,4333.0,167.0
cladding_120x23,3,4500,5,LSC7 + RSC1 + RSC2 + SFB5 + SFB6,1175.0 + 1175.0 + 1175.0 + 397.0 + 397.0,14.0,4333.0,167.0
cladding_120x23,4,4500,3,RSC3 + RSC4 + RSC5,1175.0 + 1175.0 + 1175.0,8.4,3533.4,966.6
cladding_120x23,5,4500,3,RSC6 + RSC7 + DCB1,1175.0 + 1175.0 + 1175.0,8.4,3533.4,966.6
cladding_120x23,6,4500,3,DCB2 + DCB3 + DCB4,1175.0 + 1175.0 + 1175.0,8.4,3533.4,966.6
cladding_120x23,7,4500,3,DCB5 + DCB6 + DCB7,1175.0 + 1175.0 + 1175.0,8.4,3533.4,966.6
cladding_120x23,8,4500,4,DCB8 + DCB9 + BWC1 + BWC2,1175.0 + 1175.0 + 1050.0 + 1050.0,11.2,4461.2,38.8
cladding_120x23,9,4500,4,BWC3 + BWC4 + BWC5 + BWC6,1050.0 + 1050.0 + 1050.0 + 1050.0,11.2,4211.2,288.8
cladding_120x23,10,4500,5,BWC7 + BWC8 + FCB1 + FCB2 + FCB3,1050.0 + 1050.0 + 747.0 + 747.0 + 747.0,14.0,4355.0,145.0
cladding_120x23,11,4500,6,FCB4 + FCB5 + FCB6 + FCB7 + FCB8 + STB1,747.0 + 747.0 + 747.0 + 747.0 + 747.0 + 500.0,16.8,4251.8,248.2
cladding_120x23,12,4500,9,STB2 + STB3 + STB4 + STB5 + STB6 + STB7 + STB8 + SFB7 + SFB8,500.0 + 500.0 + 500.0 + 500.0 + 500.0 + 500.0 + 500.0 + 397.0 + 397.0,25.2,4319.2,180.8
