material,stock,stock_length_mm,cuts,pieces,piece_lengths_mm,kerf_mm,used_mm,waste_mm
beam_45x45,1,2400.0,2,door_brace + floor_diagonal,1288.9 + 1065.1,2.8,2356.8,43.2
beam_45x45,2,2400.0,2,left_brace + front_post_left,1224.4 + 1150.0,2.8,2377.2,22.8
beam_45x45,3,2400.0,2,right_brace + back_post_left,1224.4 + 1150.0,2.8,2377.2,22.8
beam_45x45,4,2400.0,2,front_post_right + back_post_right,1150.0 + 1150.0,2.8,2302.8,97.2
beam_45x45,5,2400.0,2,door_left + door_right,1050.0 + 1050.0,2.8,2102.8,297.2
beam_45x45,6,2400.0,2,roof_front + roof_back,950.0 + 950.0,2.8,1902.8,497.2
beam_45x45,7,2400.0,2,door_bottom + door_top,950.0 + 950.0,2.8,1902.8,497.2
beam_45x45,8,2400.0,2,front_bottom + back_bottom,860.0 + 860.0,2.8,1722.8,677.2
beam_45x45,9,2400.0,2,back_top + roof_middle,860.0 + 860.0,2.8,1722.8,677.2
beam_45x45,10,2400.0,2,roof_left + roof_right,842.3 + 842.3,2.8,1687.4,712.6
beam_45x45,11,2400.0,3,floor_back_support + seat_rail_1 + left_bottom,814.0 + 814.0 + 760.0,5.6,2393.6,6.4
beam_45x45,12,2400.0,3,seat_rail_2 + seat_lower_rail + left_top,814.0 + 814.0 + 760.0,5.6,2393.6,6.4
beam_45x45,13,2400.0,2,right_bottom + right_top,760.0 + 760.0,2.8,1522.8,877.2
cladding_120x23,1,2400.0,2,door_1 + door_2,1175.0 + 1175.0,2.8,2352.8,47.2
cladding_120x23,2,2400.0,2,door_3 + door_4,1175.0 + 1175.0,2.8,2352.8,47.2
cladding_120x23,3,2400.0,2,door_5 + door_6,1175.0 + 1175.0,2.8,2352.8,47.2
cladding_120x23,4,2400.0,2,door_7 + door_8,1175.0 + 1175.0,2.8,2352.8,47.2
cladding_120x23,5,2400.0,2,left_wall_1 + right_wall_1,1175.0 + 1175.0,2.8,2352.8,47.2
cladding_120x23,6,2400.0,2,left_wall_2 + right_wall_2,1156.4 + 1156.4,2.8,2315.6,84.4
cladding_120x23,7,2400.0,2,left_wall_3 + right_wall_3,1137.7 + 1137.7,2.8,2278.2,121.8
cladding_120x23,8,2400.0,2,left_wall_4 + right_wall_4,1119.1 + 1119.1,2.8,2241,159
cladding_120x23,9,2400.0,2,left_wall_5 + right_wall_5,1100.5 + 1100.5,2.8,2203.8,196.2
cladding_120x23,10,2400.0,2,left_wall_6 + right_wall_6,1081.8 + 1081.8,2.8,2166.4,233.6
cladding_120x23,11,2400.0,2,left_wall_7 + right_wall_7,1063.2 + 1063.2,2.8,2129.2,270.8
cladding_120x23,12,2400.0,2,back_wall_1 + back_wall_2,1050.0 + 1050.0,2.8,2102.8,297.2
cladding_120x23,13,2400.0,2,back_wall_3 + back_wall_4,1050.0 + 1050.0,2.8,2102.8,297.2
cladding_120x23,14,2400.0,2,back_wall_5 + back_wall_6,1050.0 + 1050.0,2.8,2102.8,297.2
cladding_120x23,15,2400.0,2,back_wall_7 + back_wall_8,1050.0 + 1050.0,2.8,2102.8,297.2
cladding_120x23,16,2400.0,3,floor_1 + floor_2 + floor_3,782.0 + 782.0 + 782.0,5.6,2351.6,48.4
cladding_120x23,17,2400.0,3,floor_4 + floor_5 + floor_6,782.0 + 782.0 + 782.0,5.6,2351.6,48.4
cladding_120x23,18,2400.0,4,floor_7 + seat_top_1 + seat_top_2 + seat_top_3,782.0 + 500.0 + 500.0 + 500.0,8.4,2290.4,109.6
cladding_120x23,19,2400.0,4,seat_top_4 + seat_top_5 + seat_top_6 + seat_top_7,500.0 + 500.0 + 500.0 + 500.0,8.4,2008.4,391.6
cladding_120x23,20,2400.0,6,seat_front_1 + seat_front_2 + seat_front_3 + seat_front_4 + seat_front_5 + seat_front_6,397.0 + 397.0 + 397.0 + 397.0 + 397.0 + 397.0,14,2396,4
cladding_120x23,21,2400.0,1,seat_front_7,397.0,0,397,2003
